Datetime,Username,Text,Retweets,Replies,Likes,Quotes,Language,Location,Hashtags
09:10:20 16:16:55,PaulLarrouturou,"RT @IFPjournalisme http://twitpic.com/m91qy - C-Marie Monnot, médiateur de France 2 était l'invité de l' #ifp http://twitpic.com/m91z0",0,0,0,0,fr,France,['ifp']
09:10:20 16:16:17,PaulLarrouturou,"RT @IFPjournalisme http://twitpic.com/m91qy - C-Marie Monnot, médiateur de France 2 était l'invité de l'#IFP http://twitpic.com/m91z0",0,0,0,0,fr,France,['IFP']
09:10:20 15:28:19,simonroze,bienvenur à @IFPjournalisme ! #IFP,0,0,0,0,fr,Paris,['IFP']
09:10:20 15:02:38,Carolumet,"RT @IFPjournalisme CCl de C-M Monnot,médiateur de F2 ""On a le plus beau métier du monde. Il ne faut pas le gâcher"".#ifp",0,0,0,0,fr,Paris,['ifp']
09:10:20 14:49:56,PaulLarrouturou,"RT @IFPjournalisme C-M Monnot,médiateur de F2 ""Quand Marie Drucker a qualifié Treiber de tueur,elle a reconnu avoir fait ""un peu court"" #ifp",0,0,0,0,fr,France,['ifp']
09:10:20 14:48:57,PaulLarrouturou,"RT @IFPjournalisme Médiateur de F2 ""En France,à France 2 aussi, on a la maladie du scoop. On ne recoupe pas. On préfère démentir après"" #ifp",0,0,0,0,fr,France,['ifp']
09:10:20 14:48:02,PaulLarrouturou,"RT @IFPjournalisme C-M Monnot,médiateur de F2 ""Au CSA, ils ne sont pas soumis. C'est juste qu'ils ne servent à rien."" #ifp",0,0,0,0,fr,France,['ifp']
09:10:20 14:46:04,PaulLarrouturou,"RT @IFPjournalisme C-M Monnot,médiateur de F2 ""TF1 n'a pas voulu de ""Plus Belle la vie"", ça leur aurait couté trop cher à produire"" #ifp",0,0,0,0,fr,France,['ifp']
09:10:20 14:43:40,IFPjournalisme,"CCl de C-M Monnot,médiateur de F2 venu parlé déontologie à l'école ""On a le plus beau métier du monde. Il ne faut pas le gâcher"".#ifp",0,0,0,0,fr,Paris,['ifp']
09:10:20 14:42:26,IFPjournalisme,"C-M Monnot,médiateur de F2 ""Ce qui revient le plus dans mon courriel, c'est la violence. Puis les erreurs. Et enfin trop de faits div'"".#ifp",0,0,0,0,fr,Paris,['ifp']
09:10:20 14:41:03,IFPjournalisme,"C-M Monnot,médiateur de F2 ""TF1 n'a pas voulu de ""Plus Belle la vie"", ça leur aurait couté trop cher à produire""#ifp",0,0,0,0,fr,Paris,['ifp']
09:10:20 14:35:41,IFPjournalisme,"C-M Monnot,médiateur de F2 ""Quand je dis aux journalistes, ""vous faites trop de caméras cachées"",ils me répondent ""t'as vu l'audience?"".#ifp",0,0,0,0,fr,Paris,['ifp']
09:10:20 14:34:20,IFPjournalisme,"C-M Monnot,médiateur de F2 ""Au CSA, ils ne sont pas soumis. C'est juste qu'ils ne servent à rien.""#ifp",0,0,0,0,fr,Paris,['ifp']
09:10:20 14:33:23,IFPjournalisme,"C-M Monnot,médiateur de F2 ""Avant, le patron du JT, c'était le rédac chef. Maintenant, c'est le présentateur."" #ifp",0,0,0,0,fr,Paris,['ifp']
09:10:20 14:32:04,IFPjournalisme,"C-M Monnot,médiateur de F2 ""Notre crédibilité s'affaisse tous les jours. Bcp de présentateurs font du médiatraining avc les politiques"" #ifp",0,0,0,0,fr,Paris,['ifp']
09:10:20 14:30:40,IFPjournalisme,"C-M Monnot,médiateur de F2 ""En France, à France 2 aussi, on a la maladie du scoop. On ne recoupe pas. On préfère démentir après"" #ifp",0,0,0,0,fr,Paris,['ifp']
09:10:20 14:29:02,IFPjournalisme,"C-M Monnot,médiateur de F2 ""Delahousse et Pujadas jouent très bien le jeu. Quand il y a un soucis, ils viennent en parler."" #ifp",0,0,0,0,fr,Paris,['ifp']
09:10:20 14:26:20,IFPjournalisme,"C-M Monnot,médiateur de F2 ""Heureusement, quand Marie Drucker a qualifié Treiber de tueur, elle a reconnu avoir fait un peu court"" #ifp",0,0,0,0,fr,Paris,['ifp']
09:10:20 14:24:53,IFPjournalisme,"Christian-Marie Monnot,médiateur de F2 ""J'ai un rôle consultatif, d'autorité morale. Malheureusement, j'ai de moins en moins de pouvoir""#ifp",0,0,0,0,fr,Paris,['ifp']
09:10:20 12:02:46,Carolumet,"RT @IFPjournalisme invité de l'après-midi, Christian-Marie Monnot, médiateur de France 2 (http://tinyurl.com/yglx6zq) #ifp",0,0,0,0,fr,Paris,['ifp']
09:10:20 11:50:28,PaulLarrouturou,"RT @IFPjournalisme invité de l'après-midi, Christian-Marie Monnot, médiateur de France 2 (http://tinyurl.com/yglx6zq) #ifp",0,0,0,0,fr,France,['ifp']
09:10:20 11:42:27,IFPjournalisme,"invité de l'après-midi, Christian-Marie Monnot, médiateur de France 2 et grand porteur de noeud papillon (http://tinyurl.com/yglx6zq) #ifp",0,0,0,0,fr,Paris,['ifp']
09:10:20 11:38:13,IFPjournalisme,"après une semaine consacrée à la Justice, les M2 entament une semaine de déontologie. #ifp",0,0,0,0,fr,Paris,['ifp']
09:10:19 17:58:39,KCAFilms,"RT @Screendaily: The Hurt Locker, Big Fan lead IFP Gotham nominees http://bit.ly/2OpiQq #ifp #Gothams #indiefilm",0,0,0,0,en,,"['ifp', 'Gothams', 'indiefilm']"
09:10:19 17:41:31,KCAFilms,LOL. RT @current_movies: And the award for fastest delivery of a nomination list goes to...A.O. SCOTT! Woo! #ifp,0,0,0,0,en,,['ifp']
09:10:19 17:20:51,RTShow,And the award for fastest delivery of a nomination list goes to...A.O. SCOTT! Woo! #ifp,0,0,0,0,en,"Los Angeles, CA",['ifp']
09:10:19 17:09:47,gogoSlava,RT @MByrd: Hey #IFP def going to webcast from the ceremony as well.  (The Gotham Independent Film Awards live &gt; http://ustre.am/75bt),0,0,0,0,en,"New York, San Francisco",['IFP']
09:10:16 13:45:09,PaulLarrouturou,"""Le juge d'instruction, comme le dit Badinter, c'est à la fois Maigret et Salomon""Christophe Regnard, psdt de l'USM #ifp",0,0,0,0,fr,France,['ifp']
09:10:16 13:20:04,Chagabs,"""Pendant 10 ans, on a eu une période de folie collective sur les délinquants sexuels et la parole de l'enfant"" Christophe Regnard #ifp",0,0,0,0,fr,Paris,['ifp']
09:10:13 10:19:50,IFPIndia,"#IFP India - As of October 2009, IFP India has selected 280 Fellows for Masters and PhD degrees",0,0,0,0,en,India,['IFP']
09:10:13 10:15:00,IFPIndia,"#IFP India - The Information Sheet and Pre-Application Form are at www.ifpsa.org. Closing date for Pre-Applications is December 15, 2009.",0,0,0,0,en,India,['IFP']
09:10:13 10:05:51,IFPIndia,#IFP India - IFP especially supports candidates from groups that have historically lacked access to higher education.,0,0,0,0,en,India,['IFP']
09:10:13 10:05:07,IFPIndia,#IFP India - Call for Applications for the Ninth Ford Foundation International Fellowships Program 2010,0,0,0,0,en,India,['IFP']
09:10:09 11:32:39,IFPIndia,#IFP India- 40 fellowships are available for 2010,0,0,0,0,en,India,['IFP']
09:10:09 11:31:48,IFPIndia,#IFP India-IFP provides support for a maximum of two years of formal Master’s degree,0,0,0,0,en,India,['IFP']
09:10:07 17:12:13,Nickcanncfp,Thanks to everybody for their support of a fantastic IFP Conference. Now fit to drop #ifp,0,0,0,0,en,"Chepstow, Wales",['ifp']
09:10:05 12:52:46,juliaklebitz,"hör´ gerade die hörfunksendung der ifp-stips08: http://tinyurl.com/c2qxed #ifp #m94,5",0,0,0,0,de,,"['ifp', 'm94']"
09:09:29 18:09:24,UrbanThinking,"Back in full effect after a week of networking at, Ad Week, Independent Film Week & Filmmaker Conference #IFP , New York Television Festival",0,0,0,0,en,NYC,['IFP']
09:09:27 21:42:15,ShortIsBetter,The #Film Panel Notetaker - Miss a panel discussion? Notes from #IFP’s Independen... http://shar.es/1vPcR,0,0,0,0,en,Canada,"['Film', 'IFP']"
09:09:27 10:54:33,CampbellX,RT @indigochameleonNotes from #IFP’s Independent #Filmmaker Conference 2009. Great Blog 'The Film Panel Notetaker' http://ow.ly/rfQ3,0,0,1,0,en,Planet Earth,"['IFP', 'Filmmaker']"
09:09:27 10:41:37,indigochameleon,Notes from #IFP’s Independent #Filmmaker Conference 2009. Great Blog 'The Film Panel Notetaker'  http://ow.ly/rfQ3,0,0,0,0,en,"Bristol, UK","['IFP', 'Filmmaker']"
09:09:26 14:11:37,indigochameleon,"Great article for #indie #producers, #filmmakers on the new market. http://ow.ly/rbhA  #IFP",0,0,0,0,en,"Bristol, UK","['indie', 'producers', 'filmmakers', 'IFP']"
09:09:24 17:31:36,Jacobanis,GoodPitch is a good thing! #IFP,0,0,0,0,en,,['IFP']
09:09:23 22:39:51,Jacobanis,RJ was talking about docs but I think it's just as true - and sometimes missed - for narrative #IFP,0,0,0,0,en,,['IFP']
09:09:23 15:23:47,skidrowcrypto,NY-based #ifp and London-based networking org #shootingpeople have formed a strategic partnership http://tinyurl.com/m4ho4o,0,0,0,0,en,"Los Angeles, CA","['ifp', 'shootingpeople']"
09:09:22 19:40:18,jonarcher,Pitching at IFP this week? Sage advice from ITVS's Richard Saiz: http://bit.ly/4bNxyw #ifp,0,0,0,0,en,"San Francisco, CA",['ifp']
09:09:22 16:53:49,dcap,Mira Nair said she does yoga w her crew on set every morning and blessing rituals. I've seen it in action and it 100% motivates them. #ifp,0,0,0,0,en,New Orleans,['ifp']
09:09:22 14:58:33,CarolynBTRmovie,"#ifp #film Sessn on glbal fnance - reduce bdgt, diversify risk. do co-prods",0,0,0,0,en,"Maryland, USA","['ifp', 'film']"
09:09:22 09:30:46,TheFinanceCoach,@PeteMatthew@TheParaplanner @mikelinskey @Nickcanncfp The #IFP tag seems to be quite well used currently. #IFPC is not. LETS USE THAT THEN!,0,0,0,0,en,"Barnet, London","['IFP', 'IFPC']"
09:09:22 09:22:28,PeteMatthew,@TheFinanceCoach @TheParaplanner @mikelinskey @Nickcanncfp The #IFP tag seems to be quite well used currently. #IFPC is not used at all,0,0,0,0,en,"Penzance, UK","['IFP', 'IFPC']"
09:09:22 08:51:20,TheFinanceCoach,RT @TheParaplanner: @PeteMatthew @Nickcanncfp Need to agree some hashtags before so that we can all see what's being said WHAT ABOUT #IFP?,0,0,0,0,en,"Barnet, London",['IFP']
09:09:22 08:13:13,contentnow,"Wednesday Guide/#NYTVF, #AWNY, #IFP: Top picks for Wednesday:
8-10:45, Breakfast with Mark Cuban, Chris Anderson.. http://bit.ly/4B6cCl",0,0,0,0,en,San Francisco,"['NYTVF', 'AWNY', 'IFP']"
09:09:22 06:13:10,contentnow,"Tuesday Guide/#NYTVF, #AWNY, #MIXX, #OMMA, #IFP: Here&#8217;s an abbreviated guide to the  top picks of the day:.. http://bit.ly/1OXWDI",0,0,0,0,en,San Francisco,"['NYTVF', 'AWNY', 'MIXX', 'OMMA', 'IFP']"
09:09:21 19:24:42,deebeezy,when you go to a distributor you should show up like the verizon guy with your army - build your crowd #ifp,0,0,0,0,en,"NY, NY",['ifp']
09:09:21 18:59:10,deebeezy,filmmakers go into someone else's (social media) crowd and bring them into your crowd #ifp,0,0,0,0,en,"NY, NY",['ifp']
09:09:21 17:35:43,deebeezy,hold on to your distribution rights split them up to max profits #ifp,0,0,0,0,en,"NY, NY",['ifp']
09:09:21 17:34:16,deebeezy,the days of one stop shop film distribution is over #ifp,0,0,0,0,en,"NY, NY",['ifp']
09:09:21 17:24:48,deebeezy,sally potter's 'rage' -ragethemovie.com - is the first feature film to debut on the mobile phone thru babelgum #ifp,0,0,0,0,en,"NY, NY",['ifp']
09:09:21 17:17:09,skidrowcrypto,"attending What's the deal? panel at #ifp indie film week w/Christian Vesper, Head of Acquisitions - Sundance/IFC",0,0,0,0,en,"Los Angeles, CA",['ifp']
09:09:21 11:01:34,Followinf,"Tuesday Guide/#AWNY, #MIXX, #OMMA, #NYTVF, #IFP « Content NOW http://bit.ly/rnBnV",0,0,0,0,en,Dubai-UAE,"['AWNY', 'MIXX', 'OMMA', 'NYTVF', 'IFP']"
09:09:21 10:45:14,Followinf,"Tuesday Guide/#AWNY, #MIXX, #OMMA, #NYTVF, #IFP « Content NOW http://bit.ly/rnBnV",0,0,0,0,en,Dubai-UAE,"['AWNY', 'MIXX', 'OMMA', 'NYTVF', 'IFP']"
09:09:21 09:42:48,career_ops,"Tuesday Guide/#AWNY, #MIXX, #OMMA, #NYTVF, #IFP « Content NOW http://bit.ly/1QUQAa",0,0,0,0,en,,"['AWNY', 'MIXX', 'OMMA', 'NYTVF', 'IFP']"
09:09:21 09:29:59,bigdigit,"Tuesday Guide/#AWNY, #MIXX, #OMMA, #NYTVF, #IFP « Content NOW: Steve Farella, President &amp; CEO, TargetCast tc.. http://tinyurl.com/n4cljg",0,0,0,0,en,"iPhone: 0.000000,0.000000","['AWNY', 'MIXX', 'OMMA', 'NYTVF', 'IFP']"
09:09:21 07:48:52,contentnow,"Tuesday Guide/#AWNY, #MIXX, #OMMA, #NYTVF, #IFP: Tu 9/22
7:45-9:30, Media Insights Breakfast Today’s 360 — How A.. http://bit.ly/rnBnV",0,0,0,0,en,San Francisco,"['AWNY', 'MIXX', 'OMMA', 'NYTVF', 'IFP']"
09:09:21 07:48:33,contentnow,"Monday Guide/#AWNY, #MIXX, #OMMA, #NYTVF, #IFP: The Emmys were awesome and now 60,000+ are expected to descend u.. http://bit.ly/7SWg0",0,0,0,0,en,San Francisco,"['AWNY', 'MIXX', 'OMMA', 'NYTVF', 'IFP']"
09:09:21 02:10:08,videorose,Beautiful night under brooklyn bridge watching #ifp lab trailers. This is the best part,0,0,0,0,en,"Brooklyn, NY",['ifp']
09:09:21 00:16:03,makingthemovie,"RT @lmcnelly: RT @stomptokyo: Peter Saraf: ""Make a movie, take it to festivals, sell it there... It's a ridiculous business model."" #IFP",0,0,0,0,en,"Hollywood, CA",['IFP']
09:09:21 00:16:03,johnott,"RT @lmcnelly: RT @stomptokyo: Peter Saraf: ""Make a movie, take it to festivals, sell it there... It's a ridiculous business model."" #IFP",0,0,0,0,en,Los Angeles,['IFP']
09:09:20 23:37:37,lmcnelly,"RT @stomptokyo: Peter Saraf: ""Make a movie, take it to festivals, sell it there... It's a ridiculous business model."" #IFP",0,0,0,0,en,"Maine, ayuh",['IFP']
09:09:20 23:15:23,anadk,"Amen! RT @stomptokyo: Peter Saraf: ""Make a movie, take it to festivals, sell it there... It's a ridiculous business model."" #IFP",0,0,1,0,en,"San José, Costa Rica",['IFP']
09:09:20 22:04:30,stomptokyo,"Peter Saraf: ""Make a movie, take it to festivals, sell it there... It's a ridiculous business model."" #IFP",0,0,0,0,en,"Atlanta, GA",['IFP']
09:09:20 22:02:02,jeanprytyskacz,RT @milesmakerFree outdoor public screening of 20 film excerpts from '09 #ifp labs documentary/narrative projects http://tinyurl.com/mzc8md,0,0,0,0,en,New York City and Long Island,['ifp']
09:09:20 21:41:47,stomptokyo,The #IFP emcee should introduce herself before she introduces each panel. It's weird not knowing to whom you are listening.,0,0,0,0,en,"Atlanta, GA",['IFP']
09:09:20 21:38:37,skidrowcrypto,Free outdoor public screening of 20 film excerpts from '09 #ifp labs documentary/narrative projects http://tinyurl.com/mzc8md,0,0,0,0,en,"Los Angeles, CA",['ifp']
09:09:20 21:08:03,sfelt,at the #ifp indie filmmakers conf in nyc,0,0,0,0,en,"Denver, Colorado, USA",['ifp']
09:09:20 19:13:34,stomptokyo,Sitting a few rows back from the #IFP panel knitter. Looks like a scarf?,0,0,0,0,en,"Atlanta, GA",['IFP']
09:09:20 16:14:46,stomptokyo,Ted Hope now answering questions about his accent at #IFP. Awesome!,0,0,0,0,en,"Atlanta, GA",['IFP']
09:09:20 15:50:35,contentnow,"#IFP filmproject auditorium filling up, 1000+ runored to be here, networking supposedly good at Chipolte, Starbucks http://twitpic.com/igh2r",0,0,0,0,en,San Francisco,['IFP']
09:09:20 15:48:55,stomptokyo,And @lanceweiler brings it back around. Now much love for workbook project from Ted Hope. #IFP,0,0,0,0,en,"Atlanta, GA",['IFP']
09:09:20 15:44:57,stomptokyo,5 minutes into this panel and we're already off on a tangent. #IFP,0,0,0,0,en,"Atlanta, GA",['IFP']
09:09:20 15:39:31,skidrowcrypto,FREE #ifp outdoor screening tonight in Dumbo Brooklyn  http://tinyurl.com/mzc8md,0,0,0,0,en,"Los Angeles, CA",['ifp']
09:09:20 14:53:30,bsroszell,Independent Film Week starts today. Time to sell some movies! #IFP,0,0,0,0,en,"Austin, TX USA",['IFP']
09:09:20 14:50:32,skidrowcrypto,@hunterweeks it's a beautiful day to be a filmmaker!  #ifp Indie Film Week  http://tinyurl.com/mplmuf,0,0,0,0,en,"Los Angeles, CA",['ifp']
09:09:20 14:35:16,stomptokyo,"Jeff Hill to press gloom/doom about indie film (paraphrased): ""Come on. It's just a recession. We've done this before."" #IFP",0,0,0,0,en,"Atlanta, GA",['IFP']
09:09:20 14:19:13,contentnow,"#IFP Positioning Film for Festivals and Buyers, 100+ filmmakers in audience http://twitpic.com/ig66m",0,0,0,0,en,San Francisco,['IFP']
09:09:20 14:16:38,contentnow,"#IFP Here at Filmmaker - onstage Focus Features, Magnolia...Positioning Dilm for http://twitpic.com/ig5x2",0,0,0,0,en,San Francisco,['IFP']
09:09:20 14:13:35,filmfestsecrets,Current panel: positioning your film for festivals & buyers. #ifp,0,0,0,0,en,"Atlanta, GA",['ifp']
09:09:20 14:09:03,stomptokyo,Current panel: positioning your film for festivals & buyers. #ifp,0,0,0,0,en,"Atlanta, GA",['ifp']
09:09:20 00:04:23,skidrowcrypto,GREAT 1st day at Indie Film Week!  Thanks #ifp and #indiegogo--heading back home and back on my screenplay...,0,0,0,0,en,"Los Angeles, CA","['ifp', 'indiegogo']"
