Datetime,Username,Text,Retweets,Replies,Likes,Quotes,Language,Location,Hashtags
09:12:19 04:37:11,riploverboy,"RT @AdoreMEBRix3 RT @LifeOfRugbyJay Son Said ""gettin saucier the RAGOO"" & spelled ""ragu"" wrong lmfaoo | lmaaaaaooooooo | #Eff Yall!!",0,0,0,0,en,Wakanda,['Eff']
09:12:18 20:31:45,CindyLeeAlves,my coworker says i need an intervention - #EFF,0,0,0,0,en,On Shuffle! (NYC - CT),['EFF']
09:12:18 19:39:48,jaszybella,@Kardytis6 where the #eff are u sweetie???,0,0,0,0,en,U N F U C K W I T A B L E ! ,['eff']
09:12:18 13:55:16,saablikethecar,@broadwaymiller #eff you goes to those undercover cops that bagged my boy up.,0,0,0,0,en,"District of Columbia, USA",['eff']
09:12:18 12:13:55,ufa,"Enquanto não temos a #eff Brasil, sugiro aos blogueiros uma conta no #baywords: http://baywords.com/signup",1,0,0,0,pt,Brasil,"['eff', 'baywords']"
09:12:18 12:09:27,ufa,"Kd a #EFF Brasil? ♻ @amanditas1904: + um caso de intimidação a blogueiro: Carlinhos Medeiros recebe ""intimidação"" judicial http://ow.ly/Nk8u",0,0,0,0,pt,Brasil,['EFF']
09:12:18 09:19:42,h_rich,"haha, ich habe das Werkzeug gewechselt. ich sitze am computer. jetzt kann ich euch noch besser und schneller auf die nerven gehen. #eff",0,0,0,0,de,Berlin,['eff']
09:12:18 04:54:56,riploverboy,"RT @itstoraeBISHes RT @L0verb0y  Who Loves Anthonnn? -- me ! | #Eff everybody else! All I need in this life of sin, is me n my fiance!",0,0,0,0,en,Wakanda,['Eff']
09:12:18 04:54:21,SmokeDaddy_7,@stariaxoxo im so not perverted. And Santa died when my moms did so #EFF Santa!!,0,0,0,0,en,Where Da Money Residents 😂,['EFF']
09:12:18 03:29:49,LIVEwithBritt,RT @JoNi_Mac @BrittanySDavis did Snookie get knocked da #eff out yet?(i don't think so,0,0,0,0,en,,['eff']
09:12:18 00:08:03,EFF_TOSBack,Policy change: GoDaddy Universal Terms Of Service http://is.gd/5rQa1 #tosback #eff,0,0,0,0,en,,"['tosback', 'eff']"
09:12:17 22:49:36,RicciQueens,I just lost a follower.... normally i would bitch but now im just gonna say #Eff-You,1,0,0,0,en,Outside,['Eff']
09:12:17 14:26:43,favat,@fywp #eff hydrogen!,0,0,0,0,de,u.s.,['eff']
09:12:17 05:03:06,poloumediag1,RT  @facebookinsider Facebook releases first-ever demographic look at users - San Jose Mercury News http://ow.ly/MUR5 #privacy #EFF,0,0,0,0,en,Canada,"['privacy', 'EFF']"
09:12:17 05:02:13,KantKatchMe,"i just figured out how the #eff to protect my tweets,lol",0,0,0,0,en,"Quebec City, Quebec",['eff']
09:12:16 13:00:13,VampNadine,http://www.attitudeholland.nl/va/15238/Teeze-10G-Black-glitter---Bordello.html? These would be perfect for #EFF,0,0,0,0,en,The Netherlands,['EFF']
09:12:16 12:31:21,VampNadine,http://www.attitudeholland.nl/_clientfiles//138.1%20Burleska/923401B-L.jpg Ik vind dat ik dit ding moet hebben voor onder m'n rokkie #EFF,0,0,0,0,nl,The Netherlands,['EFF']
09:12:16 09:51:58,porrporr,Support the @EFF - 5 famous friends in video : https://w2.eff.org/5friends/ / http://www.eff.org/ #eff #privacy (via @kellerabteil),0,0,0,0,en,"Vienna, Austria","['eff', 'privacy']"
09:12:16 07:11:31,ceeSPUNKY,@brianvonawesome yeah on that #eff your whole life status [hudsoncounty] -_-,0,0,0,0,en,"New Jersey, USA",['eff']
09:12:16 03:57:57,skry,"RT @chris23, @shava23 In the US? Netizen? Support AU to keep their Internet free. Trend it! #eff #p2 #tcot #netneutrality for #nocleanfeed",0,0,0,0,en,Mastodon,"['eff', 'p2', 'tcot', 'netneutrality', 'nocleanfeed']"
09:12:16 01:55:58,paupaupauer,"#eff Believe it or not, i was waiting for you to call.",0,0,0,0,en,CDMX,['eff']
