Datetime,Username,Text,Retweets,Replies,Likes,Quotes,Language,Location,Hashtags
09:07:18 19:51:20,EMarchita,"He visto a varios reporteros presentes en la #anc, pero no he visto que algún medio esté siguiéndola en internet o twitter. #votomx",0,0,0,0,es,México,"['anc', 'votomx']"
09:07:18 19:44:59,EMarchita,Hey #ElEnjambre Estamos presenciando las diversas formas de ver y vivir la democracia. #anc  (ElEnjambre live &gt; http://ustre.am/4bsh),0,0,0,0,es,México,"['ElEnjambre', 'anc']"
09:07:18 19:43:54,ontobelli,Para los que quieran seguir todo lo que se de la #ANC pueden usar este link http://bit.ly/123p32,0,0,0,0,es,Pareidolia,['ANC']
09:07:18 19:43:04,cyber_gusy,Alguien sabe de un diputado o senador que use twitter en sus sesiones? #anc,0,0,0,0,es,https://www.instagram.com/cyber_gusy/,['anc']
09:07:18 19:40:57,cyber_gusy,Quiero conocer a @ontobelli #anc,0,0,0,0,es,https://www.instagram.com/cyber_gusy/,['anc']
09:07:18 19:39:16,cyber_gusy,Esta retecura el Che Guevara de la asamblea #anc,0,0,0,0,es,https://www.instagram.com/cyber_gusy/,['anc']
09:07:18 19:38:42,jmtomasena,RT @MexicoDeBlanco: Que es la democracia? Lo que estamos aprendiendo a hacer hoy #anc,0,0,0,0,es,"Barcelona, España",['anc']
09:07:18 19:37:54,jmtomasena,Que curioso que en un movimiento que ha cuestionado la representacion política se use el mismo argumento pa imponerse. #votonulo #anc,0,0,0,0,es,"Barcelona, España","['votonulo', 'anc']"
09:07:18 19:36:49,EMarchita,Hey #ElEnjambre Seguimos alrededor de 30 usuarios en #anc  (ElEnjambre live &gt; http://ustre.am/4bsh),0,0,0,0,es,México,"['ElEnjambre', 'anc']"
09:07:18 19:35:58,EMarchita,"RT @ontobelli La #ANC es pedagógica y muestra a los políticos y a la ciudadanía la forma de debatir, organizarse y llegar a acuerdos...",0,0,0,0,es,México,['ANC']
09:07:18 19:28:45,Linnk,RT @MexicoDeBlanco: Que es la democracia? Lo que estamos aprendiendo a hacer hoy #anc,0,0,0,0,es,Seattle / Guadalajara,['anc']
09:07:18 19:27:31,ambulante_,"Me voy a echar un ""coyotito"" porque no puedo más. Nos leemos al rato. Sigan la #anc y a sus tuitteros.",0,0,0,0,es,La Ciudad,['anc']
09:07:18 19:19:57,RomanCotera,"RT:@ontobelli La #ANC es pedagógica y muestra a los políticos y a la ciudadanía la forma de debatir, organizarse y llegar a acuerdos.*",0,0,0,0,es,"Veracruz, México",['ANC']
09:07:18 19:15:08,RedJalisco,Que es la democracia? Lo que estamos aprendiendo a hacer hoy #anc,0,0,0,0,es,México,['anc']
09:07:18 19:13:39,RedJalisco,@mexicodeblanco en la asamblea nacional ciudadana #anc,0,0,0,0,es,México,['anc']
09:07:18 19:12:51,ontobelli,"La #ANC es pedagógica y muestra a los políticos y a la ciudadanía la forma de debatir, organizarse y llegar a acuerdos. Replicarla es meta",0,0,0,0,es,Pareidolia,['ANC']
09:07:18 19:10:30,EMarchita,Hey #ElEnjambre Parece que ya se han definido los temas en los que no hay acuerdo. #anc  (ElEnjambre live &gt; http://ustre.am/4bsh),0,0,0,0,es,México,"['ElEnjambre', 'anc']"
09:07:18 19:09:18,EMarchita,"@Othaner Así es, pero la democracia es la base de la consolidación de este movimiento. #anc",0,0,0,0,es,México,['anc']
09:07:18 19:07:08,EMarchita,Va! RT @jockravez  RT @Linnk: ¡Reunión the Twitters del #anc a la salida! :) #anc,0,0,0,0,es,México,"['anc', 'anc']"
09:07:18 19:04:55,EMarchita,"Sí, pero nos va a ayudar a definciones del movimiento RT @jmtomasena Que complicada es la democracia! #votonulo #anc",0,0,0,0,es,México,"['votonulo', 'anc']"
09:07:18 19:04:30,jockravez,RT @Linnk: ¡Reunión the Twitters del #anc a la salida! :) #anc,0,0,0,0,es,Everywhere but home,"['anc', 'anc']"
09:07:18 19:01:45,EMarchita,"Lo bueno es que tenemos twitter, así no será tan largo RT @jockravez esto va para laaaargo #ANC #votonulo",0,0,0,0,es,México,"['ANC', 'votonulo']"
09:07:18 18:59:02,jockravez,esto va para laaaargo #ANC #votonulo,0,0,0,0,es,Everywhere but home,"['ANC', 'votonulo']"
09:07:18 18:58:39,jmtomasena,RT @EMarchita: Otros twitteros en la #anc #votonulo @SergioAguayo @CiudadanoBrando @VotaXPapanatas @pilartg @albertoserdan,0,0,0,0,es,"Barcelona, España","['anc', 'votonulo']"
09:07:18 18:58:24,cyber_gusy,El Che Guevara de la asamblea esta bien cura. Quiero conocer a @ontobelli #anc,0,0,0,0,es,https://www.instagram.com/cyber_gusy/,['anc']
09:07:18 18:57:43,andreslajous,"La organizacion debe estar basada en la acción, si no es pura abstracción que violenta  la cotidaniedad de la vida política. #anc",0,0,0,0,es,Ciudad de México,['anc']
09:07:18 18:57:34,EMarchita,"¡Alzen la mano bien, chavos!, dice Alberto Serdán. #anc #votonulo #votomx",0,0,0,0,es,México,"['anc', 'votonulo', 'votomx']"
09:07:18 18:57:23,jmtomasena,Que complicada es la democracia! #votonulo #anc,0,0,0,0,es,"Barcelona, España","['votonulo', 'anc']"
09:07:18 18:56:06,jockravez,"RT @jmtomasena: RT @Linnk: Deberían poner en pantalla a Twitter, la participación seria mucho mas eficiente #ANC",0,0,0,0,es,Everywhere but home,['ANC']
09:07:18 18:55:54,cyber_gusy,Pidan una mesa de twitteros #anc,0,0,0,0,es,https://www.instagram.com/cyber_gusy/,['anc']
09:07:18 18:54:44,jmtomasena,"RT @Linnk: Deberían poner en pantalla a Twitter, la participación seria mucho mas eficiente #ANC",0,0,0,0,es,"Barcelona, España",['ANC']
09:07:18 18:54:13,ontobelli,RT @EMarchita Otros twitteros en la #anc #votonulo @SergioAguayo @CiudadanoBrando @VotaXPapanatas @pilartg @albertoserdan si hay más avisen,0,0,0,0,es,Pareidolia,"['anc', 'votonulo']"
09:07:18 18:54:04,jockravez,"RT @EMarchita: Otros twitteros en la #anc #votonulo @SergioAguayo @CiudadanoBrando @VotaXPapanatas @pilartg @albertoserdan Y si faltan,  ...",0,0,0,0,es,Everywhere but home,"['anc', 'votonulo']"
09:07:18 18:52:47,cyber_gusy,El Che Guevara de la asamblea esta bien cura. Quiero conocer a @ontobelli #anc,0,0,0,0,es,https://www.instagram.com/cyber_gusy/,['anc']
09:07:18 18:52:34,EMarchita,"Otros twitteros en la #anc #votonulo @SergioAguayo @CiudadanoBrando @VotaXPapanatas @pilartg @albertoserdan Y si faltan, rólenlos.",0,0,0,0,es,México,"['anc', 'votonulo']"
09:07:18 18:48:44,jockravez,RT @LaSuite2012: RT @EMarchita Hey #ElEnjambre Transmisión empezando con audio #anc   (ElEnjambre live &gt; http://ustre.am/4bsh),0,0,0,0,es,Everywhere but home,"['ElEnjambre', 'anc']"
09:07:18 18:47:46,RomanCotera,RT @EMarchita Hey #ElEnjambre Transmisión empezando con audio #anc   (ElEnjambre live &gt; http://ustre.am/4bsh),0,0,0,0,es,"Veracruz, México","['ElEnjambre', 'anc']"
