Datetime,Text,Username,Retweets,Location,Hashtags
17:12:31 14:50:34,#UBSDetEksiCon2k14 #VOTE #SMANEGERI14SURABAYA #FOURTEENATIONFROMHEROCITY,FTCThunders,0,SMAN 14 SURABAYA,"['UBSDetEksiCon2k14', 'VOTE', 'SMANEGERI14SURABAYA', 'FOURTEENATIONFROMHEROCITY']"
17:12:31 14:43:58,"#Trump: Don't vote #Democrat.  Before telling us how to #vote, you and your family need to actually vote/do it correctly, so your votes actually count. Once you get that figured out, let us know. PS Charging $1.5T makes each of us $4,500+ poorer, NOT #richer. Math 101. #Impeach https://t.co/d33I1gKtX1",Cloud_Gram,0,United States,"['Trump', 'Democrat', 'vote', 'richer', 'Impeach']"
17:12:31 14:42:38,#thebaystateconservative #vote #rt #poll #maga https://t.co/GB6MmFu0RM,stephenro88,0,Twitter Jail Massachusetts,"['thebaystateconservative', 'vote', 'rt', 'poll', 'maga']"
17:12:31 14:39:33,"#Texas Parents and Fellow Educators: The only way to get proper support for public #education in our state is to vote Dan Patrick OUT! Please make a donation to @smilder, founder of @FOTPStx if you can, and #vote for him in the Republican primary on March 6! #txed https://t.co/W45Ah1ZrCR",EdTechSandyK,1,"Texas, USA","['Texas', 'education', 'vote', 'txed']"
17:12:31 14:30:22,"https://t.co/2SGdXnaX1W

#VOTE #ERC20 #MERCATOX",KKjeli7,0,,"['VOTE', 'ERC20', 'MERCATOX']"
17:12:31 14:27:29,"https://t.co/JfAO2qWH0f

#Vote #ERC20 #MERCATOX",xurazal,0,,"['Vote', 'ERC20', 'MERCATOX']"
17:12:31 14:24:56,Les élections à surveiller en 2018 #vote #démocratie #dictature  https://t.co/jIgaoa0DRE,JTLeveille_LP,3,Montréal (Qc),"['vote', 'démocratie', 'dictature']"
17:12:31 14:23:45,"Every girl has that one guy she goes back to, heartbreak after heartbreak, &amp; nobody knows why, not even her. &amp; she just can't let go.#vote",Ikirental,0,"Yogyakarta, Indonesia",['vote']
17:12:31 14:18:25,#Vote! https://t.co/UEDuvAxQEH,therealkaunda,0,"ÜT: -26.239669,28.009439",['Vote']
17:12:31 14:17:21,"Not too much in the win column, America. Let’s do better in 2018. #Vote #Resistance https://t.co/gQ43tXf2OZ",tartqueen,0,,"['Vote', 'Resistance']"
17:12:31 14:08:56,#vote for vG fans ... best beat for us as per current poll percentage https://t.co/Oy7gBgFxLb,RajDamale,0,"Pune, India",['vote']
17:12:31 14:08:31,"#Vote: Premios TVyNovelas 2018.

@MaiteOficial - Mejor Actriz Protagónica. https://t.co/RwR1XX94kY

@regina_wicz  - Mejor Revelación Femenina. https://t.co/41fquCB5X4

@sebastianrulli - Mejor Actor Protagónico https://t.co/MtReFxoZN1 https://t.co/DfQwgBLcwD",JsLimas,1,,['Vote']
