Text,Datetime,Location,Hashtags
bathabiledlaminithe ancwl whose costing anc votesi like itkeep talking kak bathabiledlamini,17:12:09 19:08:46,South Africa,"['BathabileDlaminiThe', 'ANCWL', 'ANC', 'BathabileDlamini']"
tcafrica south africa communist party unhappy governing anc considering contesting elections standalone party,17:12:09 18:04:14,South Africa,['ANC']
south africa communist party unhappy governing anc considering contesting elections standalone party,17:12:09 18:00:50,"Johannesburg, South Africa",['ANC']
another reason anc must lose next elections seems ancwlancylmkmva feeling heat,17:12:09 17:13:22,South Africa,"['ANC', 'ANCWL']"
anc winning elections2019,17:12:09 14:50:50,"MIDRAND,SOUTH AFRICA","['ANC', 'elections2019']"
clinton45 cyril already anyone believes otherwise either ignorant knows plot steal election happens say goodbye anc winning next election,17:12:09 13:20:43,South Africa,['ANC']
mm likely cr17 use powerbrokering tool negotiate anc elective conference either swing votes orchestrate backroom deal jz step back real problem getting zuma honor anything first time ever,17:12:09 11:50:58,South Africa,"['CR17', 'ANC', 'Zuma']"
good read breakdown delegates groups voting anc conference nasrec anc leadership race go wire heres via africa,17:12:09 11:43:15,Johannesburg,"['ANC', 'NASREC']"
chiba elected anc mp first second democratic elections 1994 1999 conferred order luthuli silver 2004 lifetime work towards struggle nonracial nonsexist democratic south africa rememberingchiba,17:12:09 08:28:03,South Africa,"['Chiba', 'ANC', 'RememberingChiba']"
branches decided delegates vote conference anc ancconference,17:12:08 18:19:13,Cape Town,"['ANC', 'ANCConference']"
dont hold breath appeal guarenteed sack ramaphosa another midnight reshuffle installing ndz17 steal anc election bases covered nddp nxasanajudgment shaunabrahams zuma,17:12:08 14:37:11,South Africa,"['Ramaphosa', 'NDZ17', 'ANC', 'NDDP', 'NxasanaJudgment', 'ShaunAbrahams', 'Zuma']"
well zumas exwife win anc election zuma fire ramaphosa within 60 daysand hes scotfree,17:12:08 11:00:35,"Johannesburg, South Africa",['Anc']
one ever said anc would accept defeat lying elected democratic vote fighting democracy tooth nail anc naively think party govern,17:12:08 05:19:28,South Africa,['ANC']
ramaphosa buying votes disease anc,17:12:08 04:51:25,"East London, South Africa","['Ramaphosa', 'ANC']"
cr making flops b4 comes power jhb metro belongs people jhb anc hey baba focus going win remember yet nominated voted lobbying still goes even conference,17:12:08 04:24:08,"Soweto, South Africa",['Anc']
imf warns large risks china financial system people expect refund fraudulent loans afforded npapartheidregime prior democratic elections 1994 repaid anc govt,17:12:07 17:13:23,"Cape Town, South Africa","['SOUTHAFRICA', 'NPApartheidRegime', 'ANC']"
anc mbalula says future people want anc presidents may elected screened interviewed branches vote cm,17:12:07 12:49:08,South Africa,['ANC']
anc mbalula says anc hurts people boycott elections stay away cm,17:12:07 12:19:55,South Africa,['ANC']
anc election result going see bye bye ramaphosa womanizer tricks nativeblacks suffering wmc supporter government leroux,17:12:07 12:01:51,South Africa,"['ANC', 'Ramaphosa', 'Womanizer', 'NativeBlacks', 'WMC', 'Government']"
luckily free market system already sorted big time yesterday shareholders lost corrupt anc ceos citizens shareholders gets punished gov looting freehealthcare freeeducation drain poor voters lose economics101,17:12:07 10:01:34,South Africa,"['corrupt', 'ANC']"
anc going rig votes favour ndz watch space anccorruption,17:12:07 06:41:00,"Centurion, South Africa",['ANC']
south africas anc wants avoid split vote senior official tg zweli mkhize anc54,17:12:07 06:16:56,"Cape Town, South Africa","['ANC', 'ANC54']"
tweeted projections count trying shock opponent anc preelection surrender,17:12:06 13:08:04,Johannesburg,['ANC']
reality anc elections ndz victory corruption spreads rt ready ret dlaminizuma 1st female president savesa sm gp,17:12:06 12:13:40,"Johannesburg, South Africa","['ANC', 'NDZ', 'Corruption', 'RET', 'DlaminiZuma']"
theres concern anc delegates could bribed exchange votes elective conference,17:12:06 08:47:41,South Africa,['ANC']
whitemedia working much hard 24x7 spread fakenews hide success anc dlaminizuma ramaphosa fakeresults fakevoting favor cr showing channels trying make us fool novoteramaphosa novotewomanizer,17:12:06 08:05:10,South Africa,"['WhiteMedia', 'fakenews', 'ANC', 'DlaminiZuma', 'Ramaphosa', 'FakeResults', 'FakeVoting', 'CR', 'NoVoteRamaphosa', 'NoVoteWomanizer']"
south africa leadership race wide open anc voting delegates gt radicaleconomictransformation vs unity vs cr17 via,17:12:06 06:40:34,South Africa,"['ANC', 'RadicalEconomicTransformation', 'unity', 'CR17']"
lets unite go anc conference robustly respect comrades respect leadership respect delegates make sure conference peaceful dlaminizuma vote ndz17,17:12:06 06:23:37,South Africa,"['ANC', 'DlaminiZuma', 'Vote', 'NDZ17']"
stealing anc prez election begins surprise starts anckzn,17:12:06 05:32:31,South Africa,"['ANC', 'ANCKZN']"
anc leadership race fight every single vote stephen grootes,17:12:05 16:10:01,South Africa,['ANC']
voting ndz captured primier league going vote anc oroyl,17:12:05 16:06:55,Soweto,"['ANC', 'OROYL']"
judging failure ancs vote noconfidence da metrosit shows tht gona b difficult fr anc regain govnance againu beda wek 2 fr 2019 electionsignorance costing u n wll continue costing,17:12:05 14:10:52,"Johannesburg, Alexander ","['ANC', 'NoConfidence', 'DA']"
infographic tallies anc branches across 9 provinces voted,17:12:05 12:34:06,South Africa,['ANC']
infographic tallies anc branches across 9 provinces voted,17:12:05 12:33:22,South Africa,['ANC']
anc leadership race fight every single vote stephen grootes,17:12:05 11:51:01,South Africa,['ANC']
ramaphosa gets nominations ahead anc leadership vote,17:12:05 10:36:45,Johannesburg,"['SouthAfrica', 'Ramaphosa', 'ANC']"
anc leadership race fight every single vote stephen grootes,17:12:05 10:31:22,South Africa,['ANC']
anc national conference vote rigging written province anckzn review nominations results nomination process run apparently 2 booklets werent submitted shouldnt mean decrease right,17:12:05 09:07:39,"Pretoria, South Africa","['ANC', 'ANCKZN']"
ramaphosa set win anc election read analysts insights todays morning report election anc,17:12:05 08:33:14,Cape Town,"['election', 'ANC']"
anc delegate voting national conference choose two would pick partys top spot,17:12:05 08:01:06,"Johannesburg, South Africa",['ANC']
anc leadership race fight every single vote stephen grootes,17:12:05 05:40:05,South Africa,['ANC']
mr hollywood zikalala anckzn hasnt quite got yet crew illegitimate virtue court 1 man 1 vote anc bullying killings,17:12:05 05:25:44,South Africa,"['Zikalala', 'ANCKZN', 'ANC']"
anc ancgp ancmp anckzn anclim based branch nominations aware votes difficult justify ndz win would mean delegates voted wishes branches would branches decide individuals,17:12:05 05:25:17,South Africa,"['ANC', 'ANCGP', 'ANCMP', 'ANCKZN', 'ANCLIM', 'NDZ']"
anc leadership race fight every single vote stephen grootes,17:12:05 04:14:02,South Africa,['ANC']
suggest anc delegates december elective conference debate anc policy issues especially policy radical economic transformation must vote candidate whose policies best willing sign binding contract abide policies,17:12:05 03:02:05,South Africa,['ANC']
twitter poll anc adopt detailed policies radical economic transformation ret december elective conference think election issues dominate discussions,17:12:05 02:16:40,South Africa,"['ANC', 'RET']"
anc leadership race fight every single vote stephen grootes,17:12:04 23:25:51,South Africa,['ANC']
anckznpgc irony ndz would win presidency cr17 elective conference anc comrades would want us vote anc 2019 elections pretend never opposed appointment president vice versa also true,17:12:04 20:59:09,"Johannesburg, South Africa","['ANCKZNPGC', 'NDZ', 'CR17', 'ANC']"
eish happened anc parents voted 1994 comrades sacrificed selflessly apartheid think struggle facing starting get realhow many kids sleep hungry every nightwhat student debt,17:12:04 20:11:51,Germiston,"['ANC', 'Apartheid']"
large number absentions anc nominations process indicating branches want reveal positions want play cards close chest means voting dec elections held secret ballot could change,17:12:04 19:22:41,South Africa,['ANC']
people failed ruling anc govt 2018 voters need think da eff,17:12:04 19:08:29,South Africa,"['ANC', 'SA', 'DA', 'EFF']"
final results cyril rampahosa lead 245 nominations dr dlamini zuma ndz number nominations anc president final outcome depend vote anc elective conference voting secret ballot,17:12:04 18:37:53,South Africa,"['NDZ', 'ANC']"
anc although branch nominations important obtaining majority level guarantee voting patterns branch delegates attending conference 22,17:12:04 18:16:51,Johannesburg,['ANC']
anc party constitution requires 90 voting delegates must branches 509 delegates leagues nec pecs well exofficio members 12,17:12:04 18:16:30,Johannesburg,['ANC']
anc leadership election branch organs delegates voting decide dont count cattle kraal,17:12:04 18:07:55,Johannesburg,['ANC']
ndz gets anc vote like robertgrace situation ancconference,17:12:04 16:16:45,South Africa,"['NDZ', 'ANC', 'ANCConference']"
anc leadership race fight every single vote stephen grootes,17:12:04 16:00:25,South Africa,['ANC']
one ells see massive potential vote buyingmanipulation hiding behind member known name unity mpumalanga ancconference anc,17:12:04 14:53:15,South Africa,"['ANCConference', 'ANC']"
outcry voters confused aic makhosikhoza logo confirms without poor illiterate confusedanc loose elections,17:12:04 13:43:58,Pretoria,"['MakhosiKhoza', 'ANC']"
mantashe says nobody vote unity ballot box mantashe says convert unity peoples namesanc,17:12:04 13:33:00,"Barberton, South Africa",['ANC']
anclimpopopgc nominates cyril ramaphosa anc president 391 votes nkosazana dlaminizuma received 104 votes,17:12:04 13:05:41,South Africa,"['ANCLimpopoPGC', 'ANC']"
anc mantashe says dont want people voting wrong party mistake says newly formed adc brings possibility already problem aic,17:12:04 12:41:20,Midrand,['ANC']
anc mantashe says nobody vote unity ballot box mantashe says convert unity peoples names,17:12:04 12:33:25,Midrand,['ANC']
dlaminizuma definitely next president anc deliver 2019 elections opposition silver platter vote ndz17 ret supportret,17:12:04 12:21:02,South Africa,"['DlaminiZuma', 'president', 'ANC', 'elections', 'Vote', 'NDZ17', 'RET', 'SupportRET']"
anc undermines spirit free fair elections accordingly anc briefed legal team lodge objection independent electoral commission blatant mischief,17:12:04 09:51:02,Midrand,['ANC']
rampant inflation anc much come zuma weakens rand gets richer poor get poorer vote anc,17:12:04 07:19:55,South Africa,"['ANC', 'Zuma', 'ANC']"
crime pays due failed corrupt government crime driven hatred brutality much inhumane eff anc blf stop hate speech gain votes wmc bs,17:12:04 07:06:10,South Africa,"['SA', 'Crime', 'CORRUPT', 'Government', 'CRIME', 'HATRED', 'BRUTALITY', 'Inhumane', 'EFF', 'ANC', 'BLF', 'WMC']"
anc leadership race fight every single vote stephen grootes,17:12:04 06:43:02,South Africa,['ANC']
anc leadership race fight every single vote stephen grootes,17:12:04 05:28:02,South Africa,['ANC']
voted anc loyal supporter built laager around z allowed state capture,17:12:04 04:47:25,South Africa,['ANC']
anc leadership race fight every single vote stephen grootes,17:12:04 04:03:02,South Africa,['ANC']
anc leadership race fight every single vote stephen grootes,17:12:03 22:33:38,South Africa,['ANC']
come jj tabane us didnt vote outcome yase mpumalanga province yet good standing anc movement waiting 2019to voice utterances powerperspective,17:12:03 21:45:30,"South Africa,Pretoria","['ANC', 'powerperspective']"
vote ndz vote zupta sellouts anc,17:12:03 21:31:46,"Jozi, SA","['NDZ', 'ZUPTA', 'sellouts', 'anc']"
vote sacp essentially vote anc however may huff puff anc,17:12:03 21:09:03,"Cape Town, South Africa","['SACP', 'ANC']"
pity ever need opposition parties work together get corrupt anc voted,17:12:03 19:06:31,"Johannesburg, South Africa",['ANC']
reason anc going take hiding elections2019,17:12:03 16:42:07,South Africa,"['ANC', 'Elections2019']"
aware fact dlaminizuma best candidate next presidency supportndz vote ndz17 anc sm,17:12:03 15:19:57,"Randburg, South Africa","['DlaminiZuma', 'SupportNDZ', 'Vote', 'NDZ17', 'ANC']"
infograpghic voting work anc conference,17:12:03 12:23:41,South Africa,['ANC']
unbelievabledoes anc learn nothing registering election results coming people sending message 2019election,17:12:03 12:13:21,"Johannesburg, South Africa","['anc', '2019election']"
losi spearheads cosatu battle cyril running election anc top six losi cosatu ramaphosa anc,17:12:03 10:00:42,Johannesburg,"['Losi', 'Cosatu', 'Ramaphosa', 'ANC']"
far im concerned stronger opposition better whatever attracts votes away dismally failing anc,17:12:03 08:58:53,"Johannesburg, South Africa",['ANC']
anc hope matter gets votes dwindle theyhavenotfoundafix4internalstriveandcorruption may become small minority soon,17:12:03 07:40:09,South Africa,"['ANC', 'TheyHaveNotFoundAFix4InternalStriveAndCorruption']"
fundamental floors anc functions theirstategies2uniteralsofloored voters want truth may b forgiving whydoeszumahvesomuchpoweroverthem theyrekneedeepinthebrownstuff2makesense,17:12:03 07:29:17,South Africa,"['ANC', 'TheirStategies2UniteRAlsoFloored', 'WhyDoesZumaHveSoMuchPowerOverThem', 'TheyreKneeDeepInTheBrownStuff2MakeSense']"
unfortunately abstain give anc vote better vote opposition party try bring balance government,17:12:03 06:59:03,South Africa,['ANC']
anc gauteng nominates dp cyrilramaphosa prefered candidate party president received majority votes gppgc sabcnews,17:12:02 18:37:36,South Africa,"['ANC', 'CyrilRamaphosa', 'GPPGC', 'sabcnews']"
anc going backwards zuma thankfully dont fire opposition need votes brings,17:12:02 18:27:01,South Africa,"['ANC', 'ZUMA']"
well said lets hope people show discontent anc voting come 2019 timewilltell ancfailures ancorruption ancmustfall,17:12:01 14:34:34,South Africa,"['ANC', 'timewilltell', 'ANCFailures', 'ANCorruption', 'ANCMustFall']"
voting cattle tradition particularly anc captured final bullet ends beautiful ancmp,17:12:01 14:32:08,"Johannesburg, South Africa","['ANC', 'ANCMP']"
true sense urgency eve elective conference ret urgent anc adopt detailed policy ret elective conference even discussion documents consideration real ret election ret ret 23 years,17:12:01 13:18:53,South Africa,"['RET', 'ANC']"
air unity slate amassed votes mpumalanga province send secondlargest delegation ancs elective conference reporter mbombela dstv 403,17:12:01 13:04:44,South Africa,"['Mpumalanga', 'ANC', 'DSTv']"
da sure view voted keep anc power,17:12:01 09:06:52,"Johannesburg, South Africa",['Anc']
anc branch nominations show ramapahosa early edge whilst best available indicator likely win conclusive bigger branches entitled one delegate guarantee delegates vote instructed,17:12:01 08:59:41,South Africa,"['ANC', 'Ramapahosa']"
ifp beats anc kzn byelection,17:12:01 08:47:39,South Africa,"['IFP', 'ANC']"
