,Text,Datetime,Location,Hashtags
1193,ramaphosa must harshly alleviate corruption taking powers zuma mean right,17:12:20 04:47:01,South africa ,"['Ramaphosa', 'Corruption', 'Zuma']"
1194,freefall tipping point turning point politics corruption 6,17:12:20 04:10:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
1195,freefall tipping point turning point politics corruption 4,17:12:20 02:35:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
1196,thiefinchief zuma corruption leadership 2,17:12:20 00:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1197,freefall tipping point turning point politics corruption 1,17:12:19 23:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
1198,thiefinchief zuma corruption leadership 0,17:12:19 22:55:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1199,top six calling rerun entire topsix indeed desperate attempt keep corruption,17:12:19 22:52:34,South Africa,"['TopSix', 'corruption', 'ANC']"
1200,thiefinchief zuma corruption leadership 22,17:12:19 20:40:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1201,two dodgy dudes zuma camp corruption rumours dodgy deals plague mabuza magashule via,17:12:19 19:25:42,pretoria,"['zuma', 'corruption']"
1202,thiefinchief zuma corruption leadership 20,17:12:19 18:40:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1203,thiefinchief zuma corruption leadership 19,17:12:19 17:05:11,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1204,thiefinchief zuma corruption leadership 17,17:12:19 15:35:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1205,thiefinchief zuma corruption leadership 15,17:12:19 13:30:23,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1206,thiefinchief zuma corruption leadership 14,17:12:19 12:25:10,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1207,steinhofffraud biggest corporate fraud one arrested want zuma guptas locked wmc anc54 mediacoverup cr17 must get rid corruption sm,17:12:19 12:12:20,South Africa,"['SteinhoffFraud', 'FRAUD', 'Zuma', 'Guptas', 'WMC', 'ANC54', 'MEDIACOVERUP', 'CR17', 'Corruption']"
1208,thiefinchief zuma corruption leadership 12,17:12:19 10:35:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1209,two problems remained top six dd ace corruption continues ndzhasfallen ancelectiveconference,17:12:19 10:08:43,Pretoria,"['ANC', 'Corruption', 'NDZHasFallen', 'ANCElectiveConference']"
1210,endofanerror zumamustgo zumamustfall corruption idiot freesouthafricafromthisfool,17:12:19 09:45:51,"Cape Town, South Africa","['endofanerror', 'zumamustgo', 'zumamustfall', 'corruption', 'idiot', 'freesouthafricafromthisfool']"
1211,freefall tipping point turning point politics corruption 11,17:12:19 09:35:05,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
1212,apartheid back blacks poor allowed public places even toiletharsh days ahead blacks corruption loot rape girls killing poors anc54 top6 ancelectiveconference ancdecides2017 cyrilramaphosa,17:12:19 09:18:10,South Africa,"['apartheid', 'corruption', 'Loot', 'rape', 'killing', 'ANC54', 'TOP6', 'ANCElectiveConference', 'ANCdecides2017', 'CyrilRamaphosa']"
1213,note quickly mobilizes 68 missing votes still quite work energy look 100 billion missing rands anc54 results corruption,17:12:19 08:35:23,Johannesburg,"['ANC54', 'Corruption']"
1214,maybe gonna fall something make sick lol one negative news reports corruption mismanagement,17:12:19 08:21:27,"Johannesburg, South Africa","['corruption', 'mismanagement']"
1215,thiefinchief zuma corruption leadership 10,17:12:19 08:10:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1216,cyrilramaphosa corruption sleaze ramaphosas victory many symbolically represent kind,17:12:19 07:46:37,"Cape Town, South Africa","['cyrilramaphosa', 'anc', 'corruption', 'sleaze']"
1217,latest environmental news uj library igf2017 corruption,17:12:19 06:13:11,"Johannesburg, South Africa","['igf2017', 'corruption']"
1218,group corruption choice soldout delegates used bidvest rooms luxury treatment received favoring cr17 time scams statecapture moneylaundaring freely command ramaphosa,17:12:19 06:07:28,South Africa,"['Corruption', 'Bidvest', 'CR17', 'scams', 'statecapture', 'moneylaundaring', 'Ramaphosa']"
1219,helm mpumalanga mabuza accounts set atop fiefdom ruling fear violence leaving trail political assassinations allegations widescale corruption wake via anc54,17:12:19 05:43:45,South Africa,"['Mpumalanga', 'Mabuza', 'assassinations', 'corruption', 'ANC54']"
1220,thiefinchief zuma corruption leadership 7,17:12:19 05:35:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1221,want cyril deal zuma criminals around statecapture corruption nkandla guptas ndpp ancelectiveconference cr17,17:12:19 05:26:39,"Mpumalanga, South Africa","['Cyril', 'Zuma', 'StateCapture', 'Corruption', 'Nkandla', 'Guptas', 'NDPP', 'ANCElectiveConference', 'CR17']"
1222,freefall tipping point turning point politics corruption 6,17:12:19 04:10:05,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
1223,freefall tipping point turning point politics corruption 4,17:12:19 02:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
1224,thiefinchief zuma corruption leadership 2,17:12:19 00:55:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1225,freefall tipping point turning point politics corruption 1,17:12:18 23:35:05,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
1226,thiefinchief zuma corruption leadership 0,17:12:18 22:55:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1227,white votebuying ok corruption clear racist statement fault brainwashed whitemedia like,17:12:18 22:29:49,South Africa,"['White', 'VoteBuying', 'Corruption', 'Racist', 'Brainwashed', 'WhiteMedia']"
1228,thiefinchief zuma corruption leadership 22,17:12:18 20:40:10,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1229,integrity achieved alignment think say choices top6 communicate zero tolerance corruption speaks loudly cant hear say anc54 ancdecides,17:12:18 19:01:30,"Sandton, South Africa","['Integrity', 'Top6', 'corruption', 'ANC', 'ANC54', 'ANCDecides']"
1230,win ramaphosa sure harsh days ahead poors blacks every evil back apartheid corruption loot killing without doubt blackday history anc54,17:12:18 18:49:44,South Africa,"['ramaphosa', 'apartheid', 'Corruption', 'Loot', 'Killing', 'BlackDay', 'ANC54']"
1231,thiefinchief zuma corruption leadership 20,17:12:18 18:40:12,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1232,wishing ramaphosa best fight corruption statecapture especially ace sg anc54,17:12:18 17:45:21,Johannesburg,"['Ramaphosa', 'corruption', 'statecapture', 'ANC54']"
1233,cant believelead us well anc54 cr17siyavuma cr17 fight statecapture corruption,17:12:18 17:20:34,"Pretoria, South Africa","['ANC54', 'CR17siyavuma', 'CR17', 'StateCapture', 'Corruption']"
1234,thiefinchief zuma corruption leadership 19,17:12:18 17:05:17,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1235,anc54 job cr17 ancconference2017 end must graph contract fill vacant ndpp smalema skabs matic time law plays part statecapture corruption,17:12:18 16:36:57,South Africa,"['ANC54', 'CR17', 'ANCConference2017', 'NDPP', 'StateCapture', 'corruption']"
1236,mfusi corruption corruptionwatch starts,17:12:18 16:05:50,"Johannesburg, South Africa","['corruption', 'CorruptionWatch']"
1237,thiefinchief zuma corruption leadership 17,17:12:18 15:35:09,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1238,wierzycka statecapture corruption criminal offenses political must pay crimes,17:12:18 13:56:47,Johannesburg,"['statecapture', 'Corruption']"
1239,actually wrong score card ease reference 1 khwezi 2 nkandla 3 sononokhoza 4 guptagate 5 nenegate 6 junkstatus 7rand 8 sabc 9 corruption 10 saa continued antizumamarches,17:12:18 13:40:08,"Pretoria, South Africa","['Khwezi', 'Nkandla', 'SononoKhoza', 'Guptagate', 'Nenegate', 'JunkStatus', 'Rand', 'SABC', 'Corruption', 'SAA', 'AntiZumaMarches']"
1240,thiefinchief zuma corruption leadership 15,17:12:18 13:25:08,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1241,thiefinchief zuma corruption leadership 14,17:12:18 12:25:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1242,hypocrisy justice still prevailed old guard rewarded corruption anc54 must address,17:12:18 11:55:39,"Pretoria, South Africa","['corruption', 'ANC54']"
1243,apparently ret wont deal wmc anc54 hegelian dialectic play corruption action enabler beneficiary ancdecides,17:12:18 11:40:36,"Pretoria, South Africa","['ANC54', 'corruption', 'ANCDecides']"
1244,freeeducation nhi possible corruption allowed flourish,17:12:18 11:14:13,"Pretoria, South Africa","['FreeEducation', 'NHI', 'corruption']"
1245,thiefinchief zuma corruption leadership 12,17:12:18 10:35:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1246,freefall tipping point turning point politics corruption 11,17:12:18 09:35:05,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
1247,add generous serving corruption brownenvelopes,17:12:18 09:07:54,South Africa ,"['Corruption', 'BrownEnvelopes']"
1248,thiefinchief zuma corruption leadership 10,17:12:18 08:10:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1249,markusjooste wiped first years pension many others steinhoffsacndal assets sold thrown prison give millions lost back south africans effectively stole corruption steinhofffraud,17:12:18 07:51:12,"George, South Africa","['MarkusJooste', 'SteinhoffSacndal', 'Corruption', 'SteinhoffFraud']"
1250,mabuza magashula belong whats group zuma corruption next level,17:12:18 07:50:23,South africa ,['Corruption']
1251,nototribalism corruption vote ramaphosa cr17 cr lectures,17:12:18 07:25:20,"Johannesburg, South Africa","['NoToTribalism', 'corruption', 'CR17', 'CR']"
1252,yes obviously person numerous achievements like marikanamassacre corruption ramaphosaleaks etc best choice become president well said buddy anc54 ancelectiveconference ancconference,17:12:18 07:06:18,"Johannesburg, South Africa","['MarikanaMassacre', 'Corruption', 'RamaphosaLeaks', 'ANC54', 'ANCElectiveConference', 'ANCConference']"
1253,normalisation corruption via corruption media politics fb,17:12:18 05:57:38,"Tshwane, Gauteng, South Africa","['corruption', 'media', 'politics', 'fb']"
1254,thiefinchief zuma corruption leadership 7,17:12:18 05:35:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1255,us senator bob corker said read tax bill denies changing vote exchange personal tax breaks corkerkickback corruption,17:12:18 04:51:03,"Cape Town, South Africa","['CorkerKickback', 'Corruption']"
1256,freefall tipping point turning point politics corruption 6,17:12:18 04:10:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
1257,muthambi warns implications corruption read gt,17:12:18 04:00:01,Pretoria,['corruption']
1258,freefall tipping point turning point politics corruption 4,17:12:18 02:35:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
1259,thiefinchief zuma corruption leadership 2,17:12:18 00:55:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
1260,true bias white media shameful corruption votebuying ramaphosa cr17 ancelectiveconference2017,17:12:18 00:32:12,South Africa,"['White', 'Corruption', 'VoteBuying', 'Ramaphosa', 'CR17', 'ANCElectiveConference2017']"
1261,breaking news spokesman zizi kodwa advises members take money still vote conscience ancvotes ancconference votebuying bribery corruption ancconference2017,17:12:18 00:18:43,South Africa,"['ANC', 'ANCVotes', 'ANCConference', 'VoteBuying', 'Bribery', 'Corruption', 'ANCConference2017']"
1262,breaking news mathews phosa true money used influence outcome conference told money exchanging hands gate 16 nasrec go investigate votebuying corruption bribery,17:12:18 00:14:26,South Africa,"['VoteBuying', 'Corruption', 'Bribery']"
