,Text,Datetime,Location,Hashtags
301,freefall tipping point turning point politics corruption 11,17:12:15 09:35:05,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
302,corruption whites ruling africa appoints extreasury dg lungisafuzile ceo via savesa sm,17:12:15 08:22:08,South Africa,"['corruption', 'whites', 'LungisaFuzile']"
303,south africa rise act statecapture corruption zuma guptas steinhoff bellpottinger esidemeni eskom sars presidentskeepers accountability 2018 countryduty,17:12:15 08:17:20,"Johannesburg, South Africa","['StateCapture', 'Corruption', 'Zuma', 'Guptas', 'Steinhoff', 'BellPottinger', 'Esidemeni', 'Eskom', 'SARS', 'PresidentsKeepers', 'Accountability', 'CountryDuty']"
304,thiefinchief zuma corruption leadership 10,17:12:15 08:10:08,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
305,corruption malfeasance maladministration must first uprooted within,17:12:15 07:30:47,"Lenasia, South Africa","['Corruption', 'Malfeasance', 'Maladministration']"
306,cyrilramaphosa without doubt maybe clean rot corruption within ministries,17:12:15 07:25:37,"Johannesburg, South Africa","['CyrilRamaphosa', 'CORRUPTION', 'ANC', 'ministries']"
307,ramaphosa sisulu preferred team lead ancconference anc54 jacobzuma must recalled corruption maladministration top concern intelligentinsightspoll,17:12:15 07:14:08,South Africa,"['Ramaphosa', 'Sisulu', 'ANC', 'ANCConference', 'ANC54', 'JacobZuma', 'recalled', 'Corruption', 'maladministration', 'IntelligentInsightsPoll', 'SouthAfrica']"
308,loosing ones hard earned wealth sad justice must prevail corruption taken place steinhoff,17:12:15 06:24:01,"Pretoria, South Africa","['corruption', 'Steinhoff']"
309,lets get right wantsneeds marry president acrimoniously going bitter internal divorce anc54 sound like match made heaven hell viva corruption viva,17:12:15 06:10:20,South Africa,"['ANC', 'ANC54', 'Corruption']"
310,racketeering corruption fraud moneylaundering read full list charges jacobzuma jz783 endcorruption zuma must face 783 charges corruption court spytapes ruling maimane via,17:12:15 05:57:43,"Cape Town, South Africa","['Racketeering', 'Corruption', 'Fraud', 'MoneyLaundering', 'JacobZuma', 'JZ783', 'EndCorruption', 'spytapes']"
311,thiefinchief zuma corruption leadership 7,17:12:15 05:35:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
312,heather sonn interim chair trend put black woman helm ship needs steered corruption muddied waters kpmg let women lead onset anyway tweet however tacitly endorse ndz though,17:12:15 04:15:39,"Johannesburg, South Africa","['corruption', 'KPMG', 'NDZ']"
313,freefall tipping point turning point politics corruption 6,17:12:15 04:10:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
314,ndz crew panick stricken corruption lead people jail,17:12:15 03:31:13,"MIDRAND,SOUTH AFRICA","['NDZ', 'Corruption']"
315,freefall tipping point turning point politics corruption 4,17:12:15 02:35:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
316,thiefinchief zuma corruption leadership 2,17:12:15 00:55:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
317,freefall tipping point turning point politics corruption 1,17:12:14 23:35:06,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
318,thiefinchief zuma corruption leadership 0,17:12:14 22:55:08,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
319,thiefinchief zuma corruption leadership 22,17:12:14 20:40:11,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
320,anc54 ancconference cant afford compromise leadership contest even risk implosion institutionalize corruption statecapture serving shortterm agendas longterm reforms leadership critical organizations survival relevance,17:12:14 20:31:19,South Africa,"['ANC54', 'ANCConference', 'corruption', 'statecapture', 'reforms', 'leadership']"
321,traffic cop arrested soliciting bribes luxury car owners bribery corruption klerksdorp potchefstroom trafficofficer,17:12:14 20:03:47,South Africa,"['Bribery', 'Corruption', 'Klerksdorp', 'Potchefstroom', 'TrafficOfficer']"
322,thiefinchief zuma corruption leadership 20,17:12:14 18:40:10,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
323,intelligentinsightspoll ramaphosa sisulu preferred team lead ancconference jacobzuma must recalled corruption top concern africa,17:12:14 18:12:16,South Africa,"['IntelligentInsightsPoll', 'SouthAfrica', 'Ramaphosa', 'Sisulu', 'ANC', 'ANCConference', 'JacobZuma', 'recalled', 'Corruption']"
324,thiefinchief zuma corruption leadership 19,17:12:14 17:05:12,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
325,intelligentinsightspoll preferred team lead ancconference jacobzuma must recalled corruption top concern sisulu,17:12:14 16:42:33,South Africa,"['IntelligentInsightsPoll', 'ANC', 'ANCConference', 'JacobZuma', 'recalled', 'Corruption']"
326,thiefinchief zuma corruption leadership 17,17:12:14 15:35:10,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
327,2015 two agricultural areas western cape water supply scheme 50 increase water allocation others got practically nothing believe included 28mm3a city cape town reserved could happen corruption,17:12:14 13:29:47,Cape Town,['corruption']
328,anc54 ancconference cant afford compromise leadership contest even risk implosion institutionalize corruption statecapture serving shortterm agendas longterm reforms leadership critical organizations survival relevance,17:12:14 13:26:40,South Africa,"['ANC54', 'ANCConference', 'corruption', 'statecapture', 'reforms', 'leadership']"
329,thiefinchief zuma corruption leadership 15,17:12:14 13:10:11,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
330,efficient reestablish racism country knew subtle differences racism felt streets better cover corruption statecapture make matter race,17:12:14 12:46:55,"Ballito, South Africa","['Corruption', 'StateCapture']"
331,ecuador vice president sentenced six years prison guilty corruption,17:12:14 10:48:12,"Cape Town, South Africa",['corruption']
332,portuguese migrants engaged corruption angola depended largely socioeconomic position,17:12:14 09:33:34,"Johannesburg, South Africa",['corruption']
333,like nipped corruption bud boss still waiting,17:12:14 09:15:18,"Cape Town, South Africa",['Corruption']
334,find association poor governancecorruption,17:12:14 09:14:42,"MIDRAND,SOUTH AFRICA",['CORRUPTION']
335,spring cannot sane mind listening garbage like much bathabiledlamini acemagashule say r led corruption killed done,17:12:14 08:01:56,"MIDRAND,SOUTH AFRICA","['BathabileDlamini', 'AceMagashule', 'Corruption']"
336,yesterday appear news claiming corruption privateamppublic sector yet ubaba ka duduzane busy corruption nd friends saying judges hatred rtc delegates dnt forget 2019 around corner,17:12:14 08:00:48,germiston,['corruption']
337,collusion contractors 2010 stadium corruption theyre jail,17:12:14 08:00:01,"Pretoria, South Africa",['Corruption']
338,unfortunate columnist pvt sector apologist unbiased analyst corruption fraud,17:12:14 07:56:56,"Pretoria, South Africa","['Corruption', 'Fraud']"
339,companies dont always self correct get caught corruption pvt sector cancer like public,17:12:14 07:50:36,"Pretoria, South Africa",['Corruption']
340,pvt sector initiates enables corruption public sector pvt sector actually worse coz operates,17:12:14 07:47:42,"Pretoria, South Africa",['Corruption']
341,corruption pvt sector also impacts us coz investors erodes buying power citizens,17:12:14 07:43:30,"Pretoria, South Africa",['Corruption']
342,looking independent whistleblowing hotline service track record combating intimidation victimisation disclosing information since 2005 contact vuvuzela hotline fraud corruption crime hotline whistleblower,17:12:14 07:32:22,"Centurion, Gauteng, RSA ","['Fraud', 'Corruption', 'Crime', 'Hotline', 'Whistleblower']"
343,support ret ndz17 dlaminizuma president bring back clutches wmc need support first lady president mettle fight corruption savesa,17:12:14 07:22:02,South Africa,"['RET', 'NDZ17', 'DlaminiZuma', 'SA', 'WMC', 'corruption']"
344,people support nkosazana zuma sas interest openly endorse corruption statecapture,17:12:14 06:37:06,"Johannesburg, South Africa","['Corruption', 'StateCapture']"
345,whats earliest experience graft bribery remember problem passport child lots noise dad slid money counter passport corruption,17:12:14 05:59:49,"Cape Town, South Africa",['Corruption']
346,south africa crime scene harbours social ills namely sexism racism tribalism xenophobic poverty inequality unemployment underdevelopment corruption crime immortality chauvinistic homophobic illiterate,17:12:13 21:58:17,Johannesburg,"['sexism', 'racism', 'tribalism', 'xenophobic', 'poverty', 'inequality', 'Unemployment', 'underdevelopment', 'Corruption', 'crime', 'immortality', 'chauvinistic', 'homophobic', 'illiterate']"
347,thanks zuma guptas corruption,17:12:13 19:29:28,South Africa,"['Zuma', 'Guptas', 'CORRUPTION']"
348,mangaung municipality bought paid single bottle 500ml still water r15000 pic vytjie mentor wastage corruption,17:12:13 17:09:32,"Johannesburg, South Africa","['Mangaung', 'Wastage', 'Corruption']"
349,unemployment sits 30 corruption,17:12:13 16:59:30,"MIDRAND,SOUTH AFRICA",['corruption']
350,chief whipp paid r150ea 500ml still water restaurant braamfontein corruption watercuts eyewitnessnews,17:12:13 16:43:13,Johannesburg,"['Corruption', 'WaterCuts', 'EyewitnessNews']"
351,earth approves one person whole string people responsible approving releasing money corruption,17:12:13 16:28:38,"Johannesburg, South Africa",['CORRUPTION']
352,looks like rat smells like rat probably rat corruption levels dealt stare statecapture going rest corrupt government stealing pants country,17:12:13 16:25:33,South Africa,"['CORRUPTION', 'Statecapture']"
353,wonder poaching continues unabated mozambique police collude poachers corruption africa,17:12:13 15:05:27,"Uvongo, South Africa","['poaching', 'Mozambique', 'poachers', 'corruption', 'Africa']"
354,watch true individual members colours start fly like blood stained peacocks heat high court passes damning judgment costs zumas failed statecapture interdict appeal zumacharges corruption,17:12:13 14:56:59,South Africa,"['ANC', 'Zuma', 'StateCapture', 'ZumaCharges', 'Corruption']"
355,gayton convicted criminal tv stems corruption involves guptas implicated statecapture question judiciary concerned credentials,17:12:13 13:37:27,"Cape Town, South Africa","['CORRUPTION', 'Guptas', 'StateCapture']"
356,corruption statecapture looting junkstatus recession decreasedrandvalue joblosses poverty crime voted zuma blame much,17:12:13 12:25:40,South Africa,"['ANC', 'CORRUPTION', 'StateCapture', 'looting', 'junkstatus', 'recession', 'DecreasedRANDValue', 'joblosses', 'Poverty', 'Crime', 'ANC', 'ZUMA']"
357,thiefinchief zuma corruption statecapture leadership 14,17:12:13 12:25:04,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
358,victory sans corrupt zumas must fall jailed pay back money corruption statecapture looting joblosses economycrashes junkstatus recession crime badeducation badhealth thing got zumas,17:12:13 11:16:25,South Africa,"['VICTORY', 'SAns', 'Corrupt', 'Zumas', 'ANC', 'CORRUPTION', 'StateCapture', 'Looting', 'Joblosses', 'EconomyCrashes', 'junkstatus', 'recession', 'CRIME', 'BadEducation', 'BadHealth', 'ANC', 'Zumas']"
359,president zuma must impeached disgrace statecapture publicprotector guptas like roy moore doomed corruption zuma,17:12:13 11:11:13,"Cape Town, South Africa","['StateCapture', 'PublicProtector', 'Guptas', 'CORRUPTION']"
360,thiefinchief zuma corruption statecapture leadership 12,17:12:13 10:35:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
361,thiefinchief zuma corruption statecapture leadership 12,17:12:13 10:35:03,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
362,freefall tipping point turning point politics corruption 11,17:12:13 09:35:03,"Cape Town, South Africa","['ANC', 'politics', 'SouthAfrica', 'corruption']"
363,thiefinchief zuma corruption statecapture leadership 10,17:12:13 08:10:05,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
364,todays cartoon zuma npa shaunabrahams corruption,17:12:13 07:46:53,"East London, South Africa","['Zuma', 'NPA', 'ShaunAbrahams', 'Corruption']"
365,credit expose steinhofffraud corruption looting systematic thank steinhoffscandal steinhoffcorruption markusjooste newage,17:12:13 06:32:11,South Africa,"['SteinhoffFraud', 'corruption', 'Steinhoffscandal', 'SteinhoffCorruption', 'MarkusJooste']"
366,jacob zuma theft south africa ny times zuma gupta corruption theft unemployment economy junkstatus politics africa nationalism racial crisis kpmg allegations deadlines southernafrica taz taxallegations tax,17:12:13 06:00:38,South Africa,"['zuma', 'gupta', 'corruption', 'southafrica', 'theft', 'unemployment', 'economy', 'junkstatus', 'ANC', 'politics', 'africa', 'nationalism', 'racial', 'crisis', 'KPMG', 'allegations', 'deadlines', 'southernafrica', 'taz', 'taxallegations', 'tax']"
367,better one ancconference pre jz never got cover corruption free south africa one corrupt usa descriptions befitting transpired decades barely get credit due,17:12:13 05:59:02,"Sandton, South Africa","['ANCConference', 'JZ', 'corruption', 'USA']"
368,votebuying corruption crooked zumaanc,17:12:13 05:52:18,pretoria,"['votebuying', 'corruption', 'crooked', 'anc', 'zumaANC']"
369,thiefinchief zuma corruption statecapture leadership 7,17:12:13 05:35:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
370,thiefinchief zuma corruption statecapture leadership 7,17:12:13 05:35:03,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
371,steinhofffraud blf take multiple actions corruption markusjooste former chief executive officer ceo discredited steinhoff international steinhoff steinhoffscandal steinhoffcorruption sm,17:12:13 04:54:38,South Africa,"['SteinhoffFraud', 'corruption', 'MarkusJooste', 'CEO', 'Steinhoff', 'Steinhoff', 'Steinhoffscandal', 'SteinhoffCorruption']"
372,ndz strong ret policy cant work soft zuma corruption guptas statecapture,17:12:13 04:35:53,South Africa,"['NDZ', 'RET', 'Zuma', 'corruption', 'Guptas', 'StateCapture']"
373,freefall tipping point turning point politics corruption 6,17:12:13 04:10:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
374,integritynot speaking zuma rape corruption statecapture collusionnot integrity,17:12:13 03:58:42,"Johannesburg, South Africa","['zuma', 'rape', 'corruption', 'StateCapture']"
375,freefall tipping point turning point politics corruption 4,17:12:13 02:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
376,thiefinchief zuma corruption statecapture leadership 2,17:12:13 00:55:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
377,freefall tipping point turning point politics corruption 1,17:12:12 23:35:05,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
378,thiefinchief zuma corruption statecapture leadership 0,17:12:12 22:55:08,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
379,waiting steinhoff advert chill corruption mismanagement,17:12:12 21:01:11,"Pretoria, South Africa","['Steinhoff', 'corruption', 'mismanagement']"
380,thiefinchief zuma corruption statecapture leadership 22,17:12:12 20:40:10,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
381,bloodlines sheds light illegal ivory trade rhino horns black market government corruption taking place,17:12:12 18:55:38,"Uvongo, South Africa","['ivory', 'rhino', 'corruption', 'SouthAfrica']"
382,thiefinchief zuma corruption statecapture leadership 20,17:12:12 18:40:11,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
383,none man made systems resource allocation distribution immune corruption steinhoff guptas,17:12:12 15:23:34,"Pretoria, South Africa","['corruption', 'Steinhoff', 'Guptas']"
384,3 comments insofar steinhoff alleged unfair andor irregular trading practices private sector well recorded criticism collusion private sector government officials past seen light corruption,17:12:12 13:57:57,South Africa,"['Steinhoff', 'Corruption', 'SouthAfrica']"
385,corruption crimesagainsthumanity humanrightsviolations corporateaccountability corruptauthorities torture publichealthemergency deceivers enviroserv enablers thousands victims witnesses testimonies crimes humanity animals environment,17:12:12 13:04:55,"Durban, South Africa","['Corruption', 'CrimesAgainstHumanity', 'HumanRightsViolations', 'CorporateAccountability', 'CorruptAuthorities', 'Torture', 'PublicHealthEmergency', 'Deceivers']"
386,even one count count many corruption zuma point stands,17:12:12 12:46:49,Cape Town,"['corruption', 'Zuma']"
387,please fridge ordered paid weeks ago offer kind service care customers least could answer phones service failure corruption,17:12:12 12:40:30,Johannesburg,"['service', 'failure', 'CORRUPTION']"
388,thiefinchief zuma corruption statecapture leadership 14,17:12:12 12:25:06,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
389,thiefinchief zuma corruption statecapture leadership 14,17:12:12 12:25:05,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
390,thiefinchief zuma corruption statecapture leadership 12,17:12:12 10:35:05,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
391,thiefinchief zuma corruption statecapture leadership 12,17:12:12 10:35:05,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
392,freefall tipping point turning point politics corruption 11,17:12:12 09:35:07,"Cape Town, South Africa","['ANC', 'politics', 'SouthAfrica', 'corruption']"
393,freefall tipping point turning point politics corruption 11,17:12:12 09:35:06,"Cape Town, South Africa","['ANC', 'politics', 'SouthAfrica', 'corruption']"
394,ran poll yesterday impressed 16 smallbusiness chooseday corruption steinhoff fraud,17:12:12 08:47:12,South Africa,"['ANC', 'SmallBusiness', 'ChooseDay', 'Corruption', 'Steinhoff', 'Fraud']"
395,chooseday biggest win corruption fighting 2017 independent media leading fight expos attention private sector corruption corporates facing consequences corrupt actions say vote,17:12:12 08:42:14,South Africa,"['ChooseDay', 'corruption']"
396,thiefinchief zuma corruption statecapture leadership 10,17:12:12 08:10:07,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
397,thiefinchief zuma corruption statecapture leadership 10,17:12:12 08:10:05,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
398,contrary analysis could also true corruption systemic problem,17:12:12 08:01:00,South Africa,"['Corruption', 'SouthAfrica']"
399,theyre discussing advanced strategic enhance current methodology place corruption,17:12:12 06:49:46,South africa ,['corruption']
400,sickens every news item colourised whiteblack one worse mara evil colour blind steinhoff npa corruption,17:12:12 06:40:09,Mpumalanga,"['Steinhoff', 'NPA', 'CORRUPTION']"
401,poll south africans care public sector corruption private sector corruption steinhoff steinhofffraud steinhoffscandal steinhoffcorruption statecapture corruptionmustdie corruption sabcnews,17:12:12 06:18:48,South Africa,"['Steinhoff', 'SteinhoffFraud', 'Steinhoffscandal', 'SteinhoffCorruption', 'StateCapture', 'anc', 'CorruptionMustDie', 'CORRUPTION', 'SABCNews']"
402,wants person like dlaminizuma serves nation worries native blacks wants free country wmc corruption ramaphosa person exploits nation wants loot wmc choice hands supportndz,17:12:12 06:10:37,"Johannesburg, South Africa","['DlaminiZuma', 'wmc', 'corruption', 'Ramaphosa', 'WMC', 'SupportNDZ']"
403,thiefinchief zuma corruption statecapture leadership 7,17:12:12 05:35:02,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
404,thiefinchief zuma corruption statecapture leadership 7,17:12:12 05:35:02,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
405,corruption,17:12:12 05:33:50,South Africa,['CORRUPTION']
406,freefall tipping point turning point politics corruption 6,17:12:12 04:10:03,"Cape Town, South Africa","['ANC', 'politics', 'SouthAfrica', 'corruption']"
407,freefall tipping point turning point politics corruption 6,17:12:12 04:10:03,"Cape Town, South Africa","['ANC', 'politics', 'SouthAfrica', 'corruption']"
408,well economically corruption government recall zuma prosecute corrupted friends see economy bounce back stop running away facts,17:12:12 02:56:04,South Africa,"['Corruption', 'ANC', 'Government', 'Zuma']"
409,freefall tipping point turning point politics corruption 4,17:12:12 02:35:03,"Cape Town, South Africa","['ANC', 'politics', 'SouthAfrica', 'corruption']"
410,freefall tipping point turning point politics corruption 4,17:12:12 02:35:03,"Cape Town, South Africa","['ANC', 'politics', 'SouthAfrica', 'corruption']"
411,thiefinchief zuma corruption statecapture leadership 2,17:12:12 00:55:04,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
412,thiefinchief zuma corruption statecapture leadership 2,17:12:12 00:55:04,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
413,freefall tipping point turning point politics corruption 1,17:12:11 23:35:07,"Cape Town, South Africa","['ANC', 'politics', 'SouthAfrica', 'corruption']"
414,freefall tipping point turning point politics corruption 1,17:12:11 23:35:06,"Cape Town, South Africa","['ANC', 'politics', 'SouthAfrica', 'corruption']"
415,thiefinchief zuma corruption statecapture leadership 0,17:12:11 22:55:07,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
416,thiefinchief zuma corruption statecapture leadership 0,17:12:11 22:55:04,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
417,thiefinchief zuma corruption statecapture leadership 22,17:12:11 20:40:05,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
418,thiefinchief zuma corruption statecapture leadership 22,17:12:11 20:40:05,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
419,zuma eight years cook reasons answering corruption allegations court wants time,17:12:11 19:54:43,"Cape Town, South Africa","['Zuma', 'corruption']"
420,thiefinchief zuma corruption statecapture leadership 20,17:12:11 18:40:13,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
421,thiefinchief zuma corruption statecapture leadership 20,17:12:11 18:40:09,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
422,thiefinchief zuma corruption statecapture leadership 19,17:12:11 17:05:14,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
423,thiefinchief zuma corruption statecapture leadership 19,17:12:11 17:05:11,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
424,south africa latest threat withdraw icc squander leadership africa icc leadership corruption zuma justice criminals african union unlawful president albashir sudan sudan legislation zuptas,17:12:11 16:30:46,South Africa,"['africa', 'ICC', 'leadership', 'corruption', 'zuma', 'justice', 'criminals', 'unlawful', 'sudan', 'legislation', 'southafrica', 'zuptas']"
425,thiefinchief zuma corruption statecapture leadership 17,17:12:11 15:35:06,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
426,thiefinchief zuma corruption statecapture leadership 17,17:12:11 15:35:06,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
427,mfokajobe think zuma giving everything family india complete joke anything help give justice dont act care justice either promoting suckling teat corruption,17:12:11 12:35:08,South Africa,"['Zuma', 'CORRUPTION']"
428,south africa latest threat withdraw icc squander leadership africa icc international criminal court icc leadership corruption zuma justice criminals african union unlawful president albashir sudan sudan legisla,17:12:11 12:31:06,South Africa,"['africa', 'ICC', 'leadership', 'corruption', 'zuma', 'justice', 'criminals', 'unlawful', 'sudan', 'legisla']"
429,thiefinchief zuma corruption statecapture leadership 14,17:12:11 12:25:06,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
430,metrorail lies via news servicedelivery corruption metrorail,17:12:11 12:11:56,South Africa,"['ServiceDelivery', 'corruption', 'Metrorail']"
431,shaun abrahams extends zumas deadline representations corruption charges end january bastard didnt court tell back shit shaunabrahams zuma corruption ancmustfall,17:12:11 12:04:54,South Africa,"['ShaunAbrahams', 'Zuma', 'Corruption', 'ANCMustFall']"
432,shaunthesheep give extension vacate office corruption,17:12:11 11:53:03,pretoria,"['shaunthesheep', 'CORRUPTION']"
433,know happened shaunabrahams given zuma end january 2018 submit representations corruption charges,17:12:11 11:16:49,"Johannesburg, South Africa","['ShaunAbrahams', 'Corruption']"
434,talk unity southafricas disingenuous dangerous via africa corruption nepotism,17:12:11 10:36:56,"Cape Town, South Africa","['SouthAfrica', 'ANC', 'Corruption', 'Nepotism']"
435,thiefinchief zuma corruption statecapture leadership 12,17:12:11 10:35:06,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
436,corruption watch breaks costs corruption full video corruption taxes,17:12:11 09:49:24,South Africa,"['corruption', 'southafrica', 'taxes']"
437,freefall tipping point turning point politics corruption 11,17:12:11 09:35:05,"Cape Town, South Africa","['ANC', 'politics', 'SouthAfrica', 'corruption']"
438,study ordinary people views c askafrika corruption statecapture press,17:12:11 09:25:55,South Africa,"['Ask_Afrika', 'corruption', 'State_capture']"
439,blast past statecapture zumamustfall guptas corruption corruptionmustdie thepresidentskeepers,17:12:11 08:51:12,South Africa,"['StateCapture', 'ZumaMustFall', 'Guptas', 'CORRUPTION', 'CorruptionMustDie', 'ThePresidentsKeepers']"
440,poll report corruption incompetence fraud mondaymotivation sassa steinhoff corruption fraud survey poll,17:12:11 08:19:58,South Africa,"['MondayMotivation', 'SASSA', 'Steinhoff', 'Corruption', 'Fraud', 'Survey', 'Poll']"
441,press calls members speak corruption lady fighting black natives supports ret lets win women power time dlaminizuma supportndz ndz17,17:12:11 08:10:14,"Johannesburg, South Africa","['ANC', 'corruption', 'RET', 'women', 'DlaminiZuma', 'SupportNDZ', 'NDZ17']"
442,thiefinchief zuma corruption statecapture leadership 10,17:12:11 08:10:07,"Cape Town, South Africa","['SouthAfrica', 'Zuma', 'corruption', 'StateCapture', 'leadership']"
443,big corruption country quiet wheres da must run courts big blow steinhofffraud steinhoffcorruption savesa cosatu,17:12:11 08:08:38,"Johannesburg, South Africa","['corruption', 'country', 'courts', 'SteinhoffFraud', 'SteinhoffCorruption']"
444,financial services board awaits report steinhoff dealings read report gt steinhoff steinhofffraud steinhoffscandal corruption,17:12:11 07:48:15,South Africa,"['Steinhoff', 'SteinhoffFraud', 'Steinhoffscandal', 'CORRUPTION']"
445,collateral damage owns steinhoff steinhofffraud corruption gt,17:12:11 07:44:01,South Africa,"['SteinhoffFraud', 'Corruption']"
446,brace corruption chaos,17:12:11 07:33:42,pretoria,"['corruption', 'chaos']"
447,mexico one dangerous places earth journalist harrowing report reveals honest men women go every stand crime corruption,17:12:11 07:30:55,"Johannesburg, South Africa","['Mexico', 'journalist', 'crime', 'corruption']"
448,fellow missed mtbps gdp knees freeeducation possible currently maybe reducing corruption,17:12:11 07:25:24,"Pretoria, South Africa","['FreeEducation', 'corruption']"
449,kwaza understand bathabiles frustration realised cr17 win soon without access public finance mission corruption,17:12:11 07:11:38,South africa ,"['CR17', 'corruption']"
450,todays cartoon zuma corruption npa shaunabrahams pravingordhan,17:12:11 06:59:47,"East London, South Africa","['Zuma', 'CORRUPTION', 'NPA', 'ShaunAbrahams', 'PravinGordhan']"
451,2 pascalf iodsa group da us pr goodresponsible corporate citizens always acknowledge mistakes take appropriate remedial action regardless financial reputational risks fraud corruption unethicalbusinesspractices join markpaulsmeier gabm paulsmeierincgroup,17:12:11 06:00:58,South Africa,"['Fraud', 'Corruption', 'UnethicalBusinessPractices', 'MarkPaulsmeier', 'GABM', 'PaulsmeierIncGroup']"
452,2 pascalf iodsa group da us pr goodresponsible corporate citizenship includes boycott effective isolation adhere stringent code conduct ethics regardless fraud corruption unethicalbusinesspractices join markpaulsmeier gabm,17:12:11 05:59:32,South Africa,"['Fraud', 'Corruption', 'UnethicalBusinessPractices', 'MarkPaulsmeier', 'GABM']"
453,2 pascalf iodsa group da us pr goodresponsible corporate citizenship includes name shame adhere stringent code conduct ethics regardless fraud corruption unethicalbusinesspractices join markpaulsmeier gabm paulsmeierincgroup,17:12:11 05:58:17,South Africa,"['Fraud', 'Corruption', 'UnethicalBusinessPractices', 'MarkPaulsmeier', 'GABM', 'PaulsmeierIncGroup']"
